Team,Conference,GM,W-L,W,L,APG,BLKS,Fouls,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,FT,FTA,FT%,PFPG,DQ,OPP REB,REB MAR,OPP PTS,SCR MAR,PTS,PPG,ST,Opp 3FGA,Opp 3FG,3FG,3FGA,3FG%,AST,ORebs,DRebs,REB,Opp TO,TO
Western Ky. (C-USA),C-USA,32,19-13,19,13,13.9,190,362,881,"1,885",46.7,842,"2,017",41.7,406,569,71.4,11.3,4,"1,186",-1.7,"2,214",6.2,"2,414",75.4,271,891,304,246,695,35.4,445,272,860,"1,132",459,388
Western Mich. (MAC),MAC,31,8-23,8,23,10.3,72,522,730,"1,736",42.1,846,"1,842",45.9,305,436,70,16.8,12,"1,118",-2.9,"2,329",-9.7,"2,027",65.4,165,739,244,262,788,33.2,319,288,739,"1,027",318,425
Wichita St. (AAC),AAC,28,15-13,15,13,12,128,446,658,"1,634",40.3,664,"1,602",41.4,390,518,75.3,15.9,12,976,2.2,"1,858",2.1,"1,917",68.5,211,589,186,211,677,31.2,336,333,705,"1,038",387,360
William & Mary (CAA),CAA,32,5-27,5,27,11.5,95,537,724,"1,799",40.2,878,"1,907",46,380,539,70.5,16.8,12,"1,143",-0.4,"2,380",-10.5,"2,044",63.9,211,788,264,216,702,30.8,367,317,812,"1,129",408,519
Winthrop (Big South),Big South,32,23-9,23,9,13.4,83,572,842,"1,733",48.6,784,"1,820",43.1,447,639,70,17.9,14,"1,012",2.7,"2,246",5,"2,407",75.2,207,738,258,276,743,37.1,428,268,829,"1,097",434,467
Wisconsin (Big Ten),Big Ten,33,25-8,25,8,11.1,97,554,815,"1,931",42.2,813,"1,870",43.5,465,626,74.3,16.8,6,"1,150",0.2,"2,177",4,"2,308",69.9,175,628,204,213,696,30.6,365,308,848,"1,156",377,287
Wofford (SoCon),SoCon,32,19-13,19,13,13.3,47,486,818,"1,758",46.5,747,"1,665",44.9,383,505,75.8,15.2,7,884,3.5,"2,120",6.3,"2,322",72.6,222,767,275,303,852,35.6,425,272,724,996,424,373
Wright St. (Horizon),Horizon,36,22-14,22,14,14.1,107,523,987,"2,140",46.1,972,"2,149",45.2,522,680,76.8,14.5,15,"1,212",1.2,"2,585",4,"2,729",75.8,212,743,247,233,700,33.3,506,378,877,"1,255",470,440
Wyoming (Mountain West),Mountain West,34,25-9,25,9,11.2,67,516,853,"1,865",45.7,825,"1,992",41.4,485,669,72.5,15.2,7,"1,117",2.8,"2,227",7,"2,466",72.5,133,761,230,275,804,34.2,381,281,931,"1,212",364,385
Xavier (Big East),Big East,36,23-13,23,13,14.8,156,553,953,"2,112",45.1,912,"2,150",42.4,520,745,69.8,15.4,9,"1,237",2.7,"2,492",4.9,"2,668",74.1,269,786,253,242,751,32.2,533,372,963,"1,335",458,420
Yale (Ivy League),Ivy League,31,19-12,19,12,12,98,543,795,"1,800",44.2,761,"1,799",42.3,424,577,73.5,17.5,11,"1,103",0.4,"2,143",2.7,"2,226",71.8,193,745,227,212,647,32.8,372,281,834,"1,115",408,400
Youngstown St. (Horizon),Horizon,34,19-15,19,15,11.9,87,593,878,"1,960",44.8,865,"1,964",44,458,602,76.1,17.4,13,"1,112",2,"2,374",2.8,"2,470",72.6,183,703,239,256,746,34.3,403,347,833,"1,180",401,399
