Team,Conference,GM,W-L,W,L,APG,BLKS,Fouls,FGM,FGA,FG%,OPP FG,OPP FGA,OPP FG%,FT,FTA,FT%,PFPG,DQ,OPP REB,REB MAR,OPP PTS,SCR MAR,PTS,PPG,ST,Opp 3FGA,Opp 3FG,3FG,3FGA,3FG%,AST,ORebs,DRebs,REB,Opp TO,TO
Loyola Chicago (MVC),MVC,33,25-8,25,8,14.9,80,568,855,"1,794",47.7,725,"1,770",41,400,562,71.2,17.2,6,"1,032",2.5,"2,029",11.3,"2,403",72.8,230,680,210,293,773,37.9,492,259,857,"1,116",446,402
Loyola Maryland (Patriot),Patriot,30,14-16,14,16,15,81,460,747,"1,689",44.2,709,"1,606",44.1,283,414,68.4,15.3,3,"1,001",-1.3,"1,970",0.5,"1,984",66.1,236,606,206,207,649,31.9,449,251,712,963,421,364
LSU (SEC),SEC,34,22-12,22,12,12.7,145,651,879,"2,005",43.8,715,"1,854",38.6,489,669,73.1,19.1,22,"1,182",2.2,"2,156",9.1,"2,467",72.6,373,863,243,220,697,31.6,431,411,846,"1,257",605,499
Maine (America East),America East,29,6-23,6,23,13.3,80,505,685,"1,654",41.4,738,"1,577",46.8,245,345,71,17.4,8,"1,036",-4.2,"2,063",-8.7,"1,811",62.4,208,559,209,196,637,30.8,386,260,653,913,375,368
Manhattan (MAAC),MAAC,30,15-15,15,15,11.5,100,540,730,"1,659",44,786,"1,702",46.2,497,676,73.5,18,11,"1,010",-0.4,"2,179",-1.8,"2,126",70.9,215,566,190,169,550,30.7,346,304,695,999,435,434
Marist (MAAC),MAAC,30,14-16,14,16,9,101,467,763,"1,737",43.9,723,"1,742",41.5,312,434,71.9,15.6,10,"1,055",0,"2,045",0.6,"2,063",68.8,175,713,238,225,654,34.4,269,275,781,"1,056",342,371
Marquette (Big East),Big East,32,19-13,19,13,16,165,556,861,"1,915",45,824,"1,999",41.2,372,502,74.1,17.4,6,"1,262",-4.7,"2,292",2.4,"2,369",74,249,719,230,275,800,34.4,511,251,862,"1,113",437,396
Marshall (C-USA),C-USA,33,12-21,12,21,14.3,160,511,919,"2,107",43.6,925,"2,053",45.1,354,502,70.5,15.5,13,"1,260",-1,"2,523",-2.5,"2,442",74,223,708,242,250,830,30.1,472,356,870,"1,226",439,433
Maryland (Big Ten),Big Ten,32,15-17,15,17,11.6,102,485,790,"1,824",43.3,826,"1,909",43.3,469,618,75.9,15.2,8,"1,121",0.2,"2,263",0.2,"2,270",70.9,204,743,264,221,678,32.6,372,303,823,"1,126",349,368
Massachusetts (Atlantic 10),Atlantic 10,32,15-17,15,17,13.7,83,546,823,"1,901",43.3,920,"1,896",48.5,472,623,75.8,17.1,10,"1,122",-1.3,"2,498",-2.4,"2,422",75.7,207,679,254,304,819,37.1,437,335,744,"1,079",403,371
McNeese (Southland),Southland,33,11-22,11,22,12.7,116,662,933,"2,071",45.1,889,"1,984",44.8,500,759,65.9,20.1,18,"1,141",6,"2,555",0.7,"2,579",78.2,257,689,236,213,681,31.3,418,459,879,"1,338",489,537
Memphis (AAC),AAC,33,22-11,22,11,15.8,180,621,889,"1,895",46.9,771,"1,940",39.7,497,716,69.4,18.8,12,"1,079",6.1,"2,255",6.8,"2,480",75.2,277,831,266,205,577,35.5,522,413,867,"1,280",479,527
Mercer (SoCon),SoCon,33,16-17,16,17,14.3,98,502,828,"1,811",45.7,839,"1,879",44.7,401,521,77,15.2,5,"1,062",-0.1,"2,328",-0.1,"2,325",70.5,203,781,270,268,764,35.1,473,263,797,"1,060",367,408
Miami (FL) (ACC),FL,37,26-11,26,11,14.2,118,550,"1,011","2,136",47.3,979,"2,135",45.9,457,616,74.2,14.9,10,"1,307",-4.7,"2,603",3.6,"2,736",73.9,328,826,285,257,759,33.9,524,269,863,"1,132",515,352
Miami (OH) (MAC),OH,32,14-18,14,18,13.8,101,511,870,"1,980",43.9,839,"1,883",44.6,376,478,78.7,16,7,"1,175",-2,"2,351",1.8,"2,408",75.2,177,771,268,292,844,34.6,440,317,793,"1,110",401,331
Michigan (Big Ten),Big Ten,34,19-15,19,15,14.1,112,516,914,"1,957",46.7,880,"1,995",44.1,429,575,74.6,15.2,5,"1,029",5.5,"2,360",3.2,"2,470",72.6,160,695,225,213,628,33.9,481,337,878,"1,215",338,396
Michigan St. (Big Ten),Big Ten,36,23-13,23,13,15.7,181,609,939,"2,059",45.6,901,"2,138",42.1,461,615,75,16.9,9,"1,179",4.2,"2,485",3.2,"2,601",72.2,205,803,254,262,694,37.8,565,363,966,"1,329",373,459
Middle Tenn. (C-USA),C-USA,37,26-11,26,11,12.4,158,680,963,"2,141",45,851,"2,059",41.3,543,718,75.6,18.4,14,"1,255",1.4,"2,486",7.7,"2,771",74.9,295,764,236,302,914,33,460,381,925,"1,306",544,477
Milwaukee (Horizon),Horizon,32,10-22,10,22,11.4,119,541,762,"1,805",42.2,782,"1,950",40.1,350,488,71.7,16.9,6,"1,184",-1.1,"2,264",-6,"2,073",64.8,157,804,269,199,628,31.7,366,288,861,"1,149",326,423
Minnesota (Big Ten),Big Ten,30,13-17,13,17,12.6,83,422,744,"1,699",43.8,793,"1,747",45.4,288,401,71.8,14.1,4,"1,125",-6.8,"2,076",-2.2,"2,010",67,160,606,204,234,636,36.8,379,182,738,920,313,276
Mississippi St. (SEC),SEC,34,18-16,18,16,13.4,113,534,860,"1,891",45.5,808,"1,880",43,519,720,72.1,15.7,11,"1,038",5.8,"2,252",4.2,"2,396",70.5,269,784,250,157,532,29.5,455,384,852,"1,236",445,449
Mississippi Val. (SWAC),SWAC,28,2-26,2,26,11.6,69,508,665,"1,723",38.6,841,"1,670",50.4,353,539,65.5,18.1,17,"1,199",-11,"2,323",-15.8,"1,882",67.2,207,520,208,199,654,30.4,324,274,616,890,434,377
Missouri (SEC),SEC,33,12-21,12,21,12.1,134,588,790,"1,854",42.6,819,"1,848",44.3,409,556,73.6,17.8,11,"1,103",1.6,"2,325",-5,"2,160",65.5,215,655,231,171,609,28.1,399,362,793,"1,155",405,476
Missouri St. (MVC),MVC,34,23-11,23,11,12.1,113,522,954,"1,980",48.2,837,"1,991",42,437,548,79.7,15.4,5,"1,099",2.9,"2,342",8.4,"2,628",77.3,181,760,252,283,756,37.4,413,281,918,"1,199",364,362
Monmouth (MAAC),MAAC,34,21-13,21,13,11.7,113,615,801,"1,915",41.8,786,"1,929",40.7,515,707,72.8,18.1,13,"1,195",1.4,"2,289",1.3,"2,333",68.6,213,787,254,216,652,33.1,397,355,886,"1,241",408,398
Montana (Big Sky),Big Sky,32,18-14,18,14,13.1,91,599,794,"1,752",45.3,741,"1,683",44,498,634,78.5,18.7,22,"1,084",-3.2,"2,141",5.3,"2,310",72.2,176,508,181,224,641,34.9,420,200,780,980,421,328
Montana St. (Big Sky),Big Sky,35,27-8,27,8,13.2,128,639,923,"1,952",47.3,841,"1,965",42.8,565,749,75.4,18.3,6,"1,085",4.1,"2,425",7.3,"2,679",76.5,183,693,228,268,729,36.8,462,305,923,"1,228",450,451
Morehead St. (OVC),OVC,34,23-11,23,11,16.1,196,511,868,"1,904",45.6,813,"1,992",40.8,360,540,66.7,15,5,"1,120",3.7,"2,158",6.5,"2,379",70,199,658,215,283,786,36,546,354,892,"1,246",409,459
Morgan St. (MEAC),MEAC,28,13-15,13,15,14.8,96,551,771,"1,764",43.7,682,"1,563",43.6,386,570,67.7,19.7,14,"1,014",0.6,"2,026",2.6,"2,100",75,237,594,205,172,549,31.3,414,338,692,"1,030",537,431
Mount St. Mary's (NEC),NEC,30,14-16,14,16,13.3,121,472,750,"1,693",44.3,723,"1,687",42.9,306,445,68.8,15.7,10,989,2,"1,958",0.9,"1,984",66.1,171,562,186,178,516,34.5,398,323,727,"1,050",369,388
Murray St. (OVC),OVC,34,31-3,31,3,14.7,108,524,978,"2,056",47.6,788,"1,912",41.2,462,668,69.2,15.4,8,"1,063",7.8,"2,150",15.9,"2,690",79.1,266,774,232,272,775,35.1,501,425,903,"1,328",471,389
N.C. A&T (Big South),Big South,32,12-20,12,20,12.2,104,611,806,"1,899",42.4,769,"1,793",42.9,353,540,65.4,19.1,13,"1,176",-1.1,"2,250",-2.6,"2,167",67.7,249,737,252,202,647,31.2,392,360,781,"1,141",449,409
N.C. Central (MEAC),MEAC,31,16-15,16,15,12.4,67,631,809,"1,801",44.9,703,"1,662",42.3,437,654,66.8,20.4,11,"1,022",3.2,"2,120",4.4,"2,256",72.8,271,699,223,201,606,33.2,384,369,751,"1,120",524,489
Navy (Patriot),Patriot,32,21-11,21,11,12.2,107,511,770,"1,792",43,678,"1,668",40.6,355,542,65.5,16,5,"1,006",5.9,"1,924",4.8,"2,079",65,226,637,209,184,565,32.6,392,383,811,"1,194",432,412
NC State (ACC),ACC,32,11-21,11,21,11.3,118,527,824,"1,997",41.3,887,"1,879",47.2,421,581,72.5,16.5,16,"1,205",-2.8,"2,419",-2.6,"2,336",73,225,652,234,267,783,34.1,362,377,738,"1,115",407,322
Nebraska (Big Ten),Big Ten,32,10-22,10,22,12.8,87,556,832,"1,875",44.4,900,"2,022",44.5,457,625,73.1,17.4,17,"1,284",-7,"2,513",-5.2,"2,345",73.3,230,816,283,224,701,32,408,235,824,"1,059",429,402
Nevada (Mountain West),Mountain West,31,13-18,13,18,14.6,103,545,802,"1,786",44.9,807,"1,829",44.1,429,573,74.9,17.6,16,"1,067",0.3,"2,282",-1.1,"2,249",72.5,198,804,287,216,648,33.3,453,259,818,"1,077",403,409
New Hampshire (America East),America East,28,15-13,15,13,12.1,80,376,706,"1,606",44,662,"1,535",43.1,271,405,66.9,13.4,4,886,4.2,"1,819",3.8,"1,925",68.8,130,605,206,242,661,36.6,340,280,725,"1,005",265,254
New Mexico (Mountain West),Mountain West,32,13-19,13,19,11.8,139,587,834,"1,920",43.4,863,"1,893",45.6,459,612,75,18.3,18,"1,206",-3.7,"2,411",-1.1,"2,376",74.2,200,649,211,249,724,34.4,376,282,806,"1,088",422,375
New Mexico St. (WAC),WAC,34,27-7,27,7,13.7,138,539,869,"1,912",45.4,768,"1,976",38.9,458,652,70.2,15.9,8,"1,059",6.9,"2,197",7.9,"2,464",72.5,170,843,254,268,810,33.1,467,371,924,"1,295",407,478
New Orleans (Southland),Southland,32,18-14,18,14,13,88,602,890,"1,911",46.6,851,"1,990",42.8,557,762,73.1,18.8,16,"1,200",-0.9,"2,385",2.6,"2,469",77.2,254,788,242,132,429,30.8,416,304,868,"1,172",490,457
Niagara (MAAC),MAAC,30,14-16,14,16,12.2,80,456,737,"1,678",43.9,704,"1,694",41.6,339,464,73.1,15.2,5,"1,024",-1.8,"1,965",1.9,"2,022",67.4,169,624,207,209,605,34.5,367,230,741,971,345,328
Nicholls (Southland),Southland,33,21-12,21,12,13.6,130,601,"1,018","2,171",46.9,816,"1,963",41.6,285,456,62.5,18.2,13,"1,219",1.5,"2,352",7.2,"2,590",78.5,273,732,245,269,823,32.7,448,393,874,"1,267",505,405
NIU (MAC),MAC,30,9-21,9,21,11.2,82,612,690,"1,646",41.9,734,"1,643",44.7,368,546,67.4,20.4,15,"1,090",-4,"2,146",-7.4,"1,923",64.1,188,600,194,175,550,31.8,337,254,715,969,407,411
NJIT (America East),America East,29,11-18,11,18,10.1,106,458,656,"1,603",40.9,741,"1,712",43.3,328,498,65.9,15.8,10,"1,083",-3,"2,030",-7,"1,826",63,176,696,233,186,569,32.7,293,240,755,995,335,372
Norfolk St. (MEAC),MEAC,31,24-7,24,7,12.5,111,547,814,"1,766",46.1,687,"1,807",38,458,655,69.9,17.6,4,"1,047",5,"1,997",9.8,"2,302",74.3,207,816,238,216,629,34.3,386,326,876,"1,202",427,435
North Carolina (ACC),ACC,39,29-10,29,10,14.9,153,564,"1,076","2,409",44.7,"1,048","2,464",42.5,558,730,76.4,14.5,8,"1,275",8.5,"2,780",6.6,"3,038",77.9,202,893,301,328,916,35.8,582,447,"1,161","1,608",378,455
North Dakota (Summit League),Summit League,31,6-25,6,25,12,58,537,739,"1,828",40.4,908,"1,859",48.8,422,573,73.6,17.3,10,"1,126",-0.8,"2,444",-8.6,"2,178",70.3,124,671,247,278,808,34.4,373,316,785,"1,101",309,371
North Dakota St. (Summit League),Summit League,33,23-10,23,10,11.1,114,514,867,"1,878",46.2,845,"2,014",42,484,636,76.1,15.6,10,"1,077",4.8,"2,267",6.1,"2,469",74.8,129,657,210,251,701,35.8,367,279,955,"1,234",302,385
North Florida (ASUN),ASUN,31,11-20,11,20,12.7,150,486,725,"1,743",41.6,830,"1,965",42.2,378,520,72.7,15.7,14,"1,225",-5.7,"2,206",-2.6,"2,124",68.5,172,590,188,296,873,33.9,394,282,767,"1,049",373,453
North Texas (C-USA),C-USA,32,25-7,25,7,11,89,507,722,"1,634",44.2,654,"1,583",41.3,392,603,65,15.8,9,948,4.5,"1,783",9.4,"2,083",65.1,210,473,134,247,691,35.7,353,335,756,"1,091",388,364
Northeastern (CAA),CAA,31,9-22,9,22,11.4,85,472,709,"1,624",43.7,792,"1,744",45.4,365,497,73.4,15.2,9,930,2,"2,142",-4.8,"1,993",64.3,146,644,221,210,657,32,353,250,742,992,320,433
Northern Ariz. (Big Sky),Big Sky,32,9-23,9,23,12.6,80,586,770,"1,845",41.7,829,"1,823",45.5,344,518,66.4,18.3,12,"1,081",3,"2,347",-5.8,"2,161",67.5,144,657,237,277,773,35.8,403,336,841,"1,177",311,432
Northern Colo. (Big Sky),Big Sky,38,22-16,22,16,12.3,110,655,"1,049","2,209",47.5,"1,070","2,330",45.9,475,670,70.9,17.2,12,"1,278",0.6,"2,924",1,"2,962",77.9,151,772,286,389,"1,020",38.1,467,292,"1,010","1,302",374,470
Northern Ky. (Horizon),Horizon,32,20-12,20,12,13.8,80,488,805,"1,877",42.9,762,"1,786",42.7,347,486,71.4,15.2,10,"1,053",2.7,"2,083",4.8,"2,237",69.9,290,700,225,280,811,34.5,440,402,738,"1,140",458,421
Northwestern (Big Ten),Big Ten,31,15-16,15,16,15.8,108,545,824,"1,928",42.7,739,"1,726",42.8,355,494,71.9,17.6,12,"1,132",-0.9,"2,168",3,"2,262",73,201,713,263,259,746,34.7,490,298,806,"1,104",421,305
Northwestern St. (Southland),Southland,32,9-23,9,23,15,112,542,895,"2,012",44.5,930,"2,010",46.3,340,490,69.4,16.9,10,"1,222",-2.1,"2,573",-6.6,"2,363",73.8,203,711,244,233,681,34.2,481,353,801,"1,154",420,457
Notre Dame (ACC),ACC,35,24-11,24,11,14,65,446,913,"1,973",46.3,898,"2,083",43.1,396,526,75.3,12.7,3,"1,179",0.3,"2,349",5.5,"2,540",72.6,182,734,236,318,834,38.1,491,251,938,"1,189",352,365
Oakland (Horizon),Horizon,32,20-12,20,12,13.4,77,437,824,"1,876",43.9,833,"1,934",43.1,498,627,79.4,13.7,14,"1,132",-0.9,"2,194",5.8,"2,381",74.4,289,810,247,235,778,30.2,430,347,757,"1,104",471,392
Ohio (MAC),MAC,35,25-10,25,10,12.7,91,505,898,"2,085",43.1,868,"1,958",44.3,479,659,72.7,14.4,11,"1,225",-0.9,"2,378",6.1,"2,591",74,263,734,231,316,943,33.5,443,351,844,"1,195",498,368
Ohio St. (Big Ten),Big Ten,32,20-12,20,12,12.5,152,525,819,"1,740",47.1,772,"1,860",41.5,440,581,75.7,16.4,6,"1,023",2.6,"2,166",5.1,"2,329",72.8,144,669,226,251,688,36.5,400,288,819,"1,107",325,358
Oklahoma (Big 12),Big 12,35,19-16,19,16,14,66,542,885,"1,859",47.6,846,"1,927",43.9,381,510,74.7,15.5,8,"1,072",1.2,"2,276",4,"2,417",69.1,258,664,211,266,767,34.7,491,267,846,"1,113",478,516
